Aviz_1,Aviz_2,Aviz_3,Aviz_4,Aviz_5,Aviz_6,Aviz_7,Aviz_8,Aviz_9,Aviz_10,Aviz_11,Aviz_12,Aviz_13,Aviz_14,Aviz_15,Aviz_16,Aviz_17,Aviz_18,Aviz_19,Aviz_20,Aviz_21,Aviz_22,Aviz_23,Aviz_24,Aviz_25,Aviz_26,Aviz_27,Aviz_28,Aviz_29,Aviz_30,Aviz_31,Aviz_32,Aviz_33,Aviz_34,Aviz_35,Aviz_36,Aviz_37,Aviz_38,Aviz_39,Aviz_40,Aviz_41,Aviz_42,Aviz_43,Aviz_44,Aviz_45,Aviz_46,Aviz_47,Aviz_48,Aviz_49,Aviz_50,Aviz_51,Aviz_52,Aviz_53,Aviz_54,Aviz_55,Aviz_56,Aviz_57,Aviz_58,Aviz_59,Aviz_60,Aviz_61,Aviz_62,Aviz_63,Aviz_64,Aviz_65,Aviz_66,Aviz_67,Aviz_68,Aviz_69,Aviz_70,Aviz_71,Aviz_72,Aviz_73,Aviz_74,Aviz_75,Aviz_76,Aviz_77,Aviz_78,Aviz_79,Aviz_80,Aviz_81,Aviz_82,Aviz_83,Aviz_84,Aviz_85,Aviz_86,Aviz_87,Aviz_88,Aviz_89,Aviz_90,Aviz_91,Aviz_92,Aviz_93,Aviz_94,Aviz_95,Aviz_96,Aviz_97,Aviz_98,Aviz_99,Aviz_100,Aviz_101,Aviz_102,Aviz_103,Aviz_104,Aviz_105,Aviz_106,Aviz_107,Aviz_108,Aviz_109,Aviz_110,Aviz_111,Aviz_112,Aviz_113,Aviz_114,Aviz_115,Aviz_116,Aviz_117,Aviz_118,Aviz_119,Aviz_120,Aviz_121,Aviz_122,Aviz_123,Aviz_124,Aviz_125,Aviz_126,Aviz_127,Aviz_128,Aviz_129,Aviz_130,Aviz_131,Aviz_132,Aviz_133,Aviz_134,Aviz_135,Aviz_136,Aviz_137,Aviz_138,Aviz_139,Aviz_140,Aviz_141,Aviz_142,Aviz_143,Aviz_144,Aviz_145,Aviz_146,Aviz_147,Aviz_148,Aviz_149,Aviz_150,Aviz_151,Aviz_152,Aviz_153,Aviz_154,Aviz_155,Aviz_156,Aviz_157,Aviz_158
0,4.33239805854975,4.56118489378909,4.95925610024588,4.78794904656859,4.92521408049851,0,0,0,4.90281846808225,0,4.57616851960781,0,4.22372950936488,0,0,0,3.90816320005555,0,4.50815249331495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61462306018531,3.82704601700473,4.19329160257952,4.35499150297848,4.4323277922616,4.69868327534698,0,0,0,0,0,4.20490642890257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.33239805854975,0,0,0,4.96704693828516,4.91015464337028,4.4944328987264,3.77880220401324,4.77671570864459,4.27330227856766,0,0,0,4.70079022137435,0,0,0,0,0,0,0,0,0,3.93018465229862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00311571709981,4.54306179801462,0,4.29710365014926,0,4.67293791299253,3.88166990767206,4.41158603841936,0,4.43950637688873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.56118489378909,0,0,4.68504272337555,0,0,0,0,0,4.91128548031276,0,5.02521981726804,4.55354322208026,0,0,0,0,4.10253660687407,0,4.54275075673258,4.60150591256321,0,3.81967551999429,0,0,0,0,0,0,0,4.28445329401085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98457231562163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11210205477089,0,4.44572871430711,0,4.04281169180715,4.09408662708319,0,0,0,0,0,4.3285834497142,0,0,0,0,0,0,4.03682843337711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.95925610024588,0,4.68504272337555,0,4.88563822060209,4.71561063073492,0,4.47671572392606,0,4.76911135006584,4.41371876506108,5.03797201155678,0,0,0,0,0,4.33593906903173,0,4.42373724998233,3.9120625555885,0,0,0,0,0,0,0,0,0,4.12991535750442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.411434502165,0,4.11958577496178,4.13369854611578,4.38758557071528,4.5331617369606,0,0,0,0,0,4.14516531735066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.78794904656859,4.96704693828516,0,4.88563822060209,0,5.05173505129779,3.92100980149703,4.91030416806857,4.94960466097297,4.57734241361154,4.19434780728009,4.20606992374019,0,4.76180760185223,0,4.15679136800393,0,4.31580246973705,3.86278709823534,0,0,0,0,4.32487894311199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30308801052805,4.43543025158297,0,4.54291252600035,4.03096384237828,4.79068619090458,0,4.35856297666106,0,3.91376088641232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.92521408049851,4.91015464337028,0,4.71561063073492,5.05173505129779,0,4.20224303762481,3.88980575186809,4.51454775266029,5.07917038854986,0,3.99056082999402,0,5.12725709882599,0,0,0,3.96113621738723,0,4.44156946263632,0,0,0,3.86658267706355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62252486240357,4.61914552634604,0,4.70212883828688,4.39731417390885,5.09528096297965,3.8694077493822,4.49405714522175,0,4.60550975211139,0,3.87737134586977,0,0,0,0,4.26646689544024,0,0,0,0,0,0,0,4.15712419550487,0,0,0,0,0,0,0,0,0,0,0,0,4.11431067686842,0,0,0,0,0,0,0,0,4.07736790528416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.4944328987264,0,0,3.92100980149703,4.20224303762481,0,0,4.99660797678412,0,0,0,0,4.73923997015154,4.54992240412951,3.90848501887865,4.78349623722452,0,0,0,0,0,0,4.19242805533121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00216606175651,0,0,0,4.21790487420266,4.3591712057167,4.37981295586094,0,4.85690402252099,0,0,3.88879706745668,0,0,0,4.554598174224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.77880220401324,0,4.47671572392606,4.91030416806857,3.88980575186809,0,0,4.58271091094667,0,4.67497130718204,4.38120536123858,0,0,0,4.71417043331956,0,4.64692300047849,4.79299368055968,0,0,0,0,4.71200957155855,0,0,0,0,0,0,4.16241503610645,0,0,0,4.12332886692635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4.77671570864459,0,0,4.94960466097297,4.51454775266029,4.99660797678412,4.58271091094667,0,0,0,0,0,4.74885446764594,3.93247376467715,4.73621318335188,4.85896406400924,0,0,0,0,0,0,4.43237593753984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30174599102526,0,0,0,4.48422863769372,4.16613397030511,4.50631557916451,0,4.57850168070681,0,0,0,0,0,0,4.08912762904428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.90281846808225,4.27330227856766,4.91128548031276,4.76911135006584,4.57734241361154,5.07917038854986,0,0,0,0,0,4.83979218444533,4.74362733757089,4.92571937390974,0,0,0,0,0,5.153232366892,4.51518478171752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98918275125555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87797571190084,4.27049250363862,4.88392817466881,4.66982806133252,4.7529008265088,5.1634893581927,0,0,0,0,0,4.88732467180912,0,0,0,0,4.30487811769828,0,4.64554016135051,3.91871166538232,0,0,0,0,4.24922282399667,0,0,0,0,0,0,0,0,0,0,0,0,4.20240657263938,0,0,0,0,0,0,0,0,4.16746502884309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
